Date,Total Traffic Volume,Exchange Rate,Gross Domestic Product (GDP),Export growth rate,Import growth rate,Nationwide Consumer Price Index,Regular Unleaded Gasoline,Diesel Fuel for Automobiles,number of car ownership,Economic Growth Rate,Interest Rate Category,Export Price Category,Import Price Category
2011-01-01,5466446.0,1121.5,328096.0,44.7,13.6,90.448,1814.57,1611.14,18409608,High Growth,Low,Low,Medium
2011-01-02,5059821.0,1121.732258,328096.0,43.7759427,13.52163472,90.39780645,1815.24,1611.79,18398782,High Growth,Low,Low,Medium
2011-01-03,5631394.0,1121.964516,328096.0,42.8518854,13.44326943,90.3476129,1816.15,1612.85,18387956,High Growth,Low,Low,Medium
2011-01-04,5584995.0,1122.196774,328096.0,41.9278281,13.36490415,90.29741935,1817.48,1614.02,18377130,High Growth,Low,Low,Medium
2011-01-05,5742955.0,1122.429032,328096.0,41.0037708,13.28653887,90.24722581,1818.53,1615.0,18366304,High Growth,Low,Low,Medium
2011-01-06,5711377.0,1122.66129,328096.0,40.0797135,13.20817358,90.19703226,1819.44,1615.81,18355478,High Growth,Low,Low,Medium
2011-01-07,6289335.0,1122.893548,328096.0,39.1556562,13.1298083,90.14683871,1820.66,1616.9,18344652,High Growth,Low,Low,Medium
2011-01-08,6171881.0,1123.125806,328096.0,38.2315989,13.05144302,90.09664516,1821.42,1617.52,18333826,High Growth,Low,Low,Medium
2011-01-09,4984525.0,1123.358065,328096.0,37.30754161,12.97307773,90.04645161,1821.76,1617.75,18323000,High Growth,Low,Low,Medium
2011-01-10,5898322.0,1123.590323,328096.0,36.38348431,12.89471245,89.99625806,1822.35,1618.36,18312174,High Growth,Low,Low,Medium
2011-01-11,5678012.0,1123.822581,328096.0,35.45942701,12.81634717,89.94606452,1822.67,1618.7,18301348,High Growth,Low,Low,Medium
2011-01-12,5597256.0,1124.054839,328096.0,34.53536971,12.73798188,89.89587097,1823.22,1619.1,18290522,High Growth,Low,Low,Medium
2011-01-13,5905843.0,1124.287097,328096.0,33.61131241,12.6596166,89.84567742,1823.81,1619.62,18279696,High Growth,Low,Low,Medium
